Episode,Police_Reward,Thief_Reward,Steps,Epsilon,Winner
1,-0.05,-0.25,50,0.8345137614500874,Thief
2,-0.35,-0.55,50,0.5048858887870696,Thief
3,0.15,-0.15,4,0.48499137027416284,Police
4,-0.85,-0.45,50,0.29342272152521587,Thief
5,-0.15,-0.15,50,0.17752252675876345,Thief
6,-0.35,0.25,50,0.1074022057426376,Thief
7,-0.15,-0.15,50,0.06497898609824969,Thief
8,-0.25,-0.65,50,0.03931268082588668,Thief
9,-0.45,-0.35,50,0.023784410415102923,Thief
10,0.05,-0.05,6,0.022392550271025803,Police
11,-0.25,-0.05,50,0.013547628772652899,Thief
12,-0.75,-0.35,50,0.009920974201040588,Thief
13,-0.35,-0.75,50,0.009920974201040588,Thief
14,-0.75,0.05,50,0.009920974201040588,Thief
15,-0.65,-0.25,50,0.009920974201040588,Thief
16,-1.05,-1.05,50,0.009920974201040588,Thief
17,-0.55,-0.65,50,0.009920974201040588,Thief
18,-0.95,-0.75,50,0.009920974201040588,Thief
19,-0.45,0.15,50,0.009920974201040588,Thief
20,-1.05,0.25,50,0.009920974201040588,Thief
21,-0.75,-0.65,50,0.009920974201040588,Thief
22,-1.45,-1.65,50,0.009920974201040588,Thief
23,-1.55,-1.45,50,0.009920974201040588,Thief
24,-0.95,-0.65,50,0.009920974201040588,Thief
25,-1.95,-1.05,50,0.009920974201040588,Thief
26,-0.95,-0.05,50,0.009920974201040588,Thief
27,-0.65,-0.75,50,0.009920974201040588,Thief
28,-0.85,-0.25,50,0.009920974201040588,Thief
29,-0.85,-0.15,50,0.009920974201040588,Thief
30,0.05,-0.05,2,0.009920974201040588,Police
31,-0.05,-0.25,50,0.009920974201040588,Thief
32,-0.45,-0.25,50,0.009920974201040588,Thief
33,0.0,0.0,1,0.009920974201040588,Police
34,0.0,-0.1,3,0.009920974201040588,Police
35,-0.85,-0.55,50,0.009920974201040588,Thief
36,-0.05,-0.15,22,0.009920974201040588,Police
37,-1.05,0.35,50,0.009920974201040588,Thief
38,-0.35,-0.75,26,0.009920974201040588,Police
39,0.1,-0.3,7,0.009920974201040588,Police
40,-0.35,-0.45,30,0.009920974201040588,Police
41,-0.45,-0.45,12,0.009920974201040588,Police
42,0.1,-0.1,3,0.009920974201040588,Police
43,-0.45,-0.55,38,0.009920974201040588,Police
44,-0.3,-0.6,45,0.009920974201040588,Police
45,-0.85,-1.25,50,0.009920974201040588,Thief
46,-0.85,-1.45,50,0.009920974201040588,Thief
47,-0.75,-0.55,50,0.009920974201040588,Thief
48,-0.55,-0.15,50,0.009920974201040588,Thief
49,-0.55,-0.05,50,0.009920974201040588,Thief
50,-0.25,-0.85,50,0.009920974201040588,Thief
51,0.1,-0.1,3,0.009920974201040588,Police
52,-0.45,-0.25,50,0.009920974201040588,Thief
53,-0.15,-0.15,50,0.009920974201040588,Thief
54,-0.25,-0.75,50,0.009920974201040588,Thief
55,-0.25,0.15,50,0.009920974201040588,Thief
56,-0.65,-0.15,50,0.009920974201040588,Thief
57,-0.55,0.25,50,0.009920974201040588,Thief
58,-0.05,-0.55,50,0.009920974201040588,Thief
59,-0.55,-0.05,50,0.009920974201040588,Thief
60,-1.45,-1.05,50,0.009920974201040588,Thief
61,-0.45,-0.75,50,0.009920974201040588,Thief
62,-1.85,-1.15,50,0.009920974201040588,Thief
63,-0.65,-0.95,50,0.009920974201040588,Thief
64,-0.55,-0.65,50,0.009920974201040588,Thief
65,-0.25,-0.35,50,0.009920974201040588,Thief
66,-0.45,-0.45,50,0.009920974201040588,Thief
67,-0.45,-0.05,50,0.009920974201040588,Thief
68,0.3,-0.4,13,0.009920974201040588,Police
69,-0.65,-0.65,50,0.009920974201040588,Thief
70,-0.05,-0.05,50,0.009920974201040588,Thief
71,0.2,-0.4,11,0.009920974201040588,Police
72,0.05,-0.35,8,0.009920974201040588,Police
73,-0.15,-0.15,50,0.009920974201040588,Thief
74,-0.15,-0.25,50,0.009920974201040588,Thief
75,-1.45,-2.15,50,0.009920974201040588,Thief
76,-0.75,-1.25,50,0.009920974201040588,Thief
77,0.45,-0.75,16,0.009920974201040588,Police
78,-0.45,-0.25,50,0.009920974201040588,Thief
79,-0.95,-0.85,50,0.009920974201040588,Thief
80,-1.85,-1.55,50,0.009920974201040588,Thief
81,-1.55,-1.25,50,0.009920974201040588,Thief
82,-0.55,-0.75,50,0.009920974201040588,Thief
83,0.25,-0.65,50,0.009920974201040588,Thief
84,-0.15,-0.25,50,0.009920974201040588,Thief
85,-1.75,-1.15,50,0.009920974201040588,Thief
86,0.25,-0.35,50,0.009920974201040588,Thief
87,-0.65,-1.05,50,0.009920974201040588,Thief
88,-0.45,-0.15,50,0.009920974201040588,Thief
89,-0.15,-0.35,50,0.009920974201040588,Thief
90,-0.85,-0.55,50,0.009920974201040588,Thief
91,-1.45,-1.45,50,0.009920974201040588,Thief
92,-0.75,0.05,50,0.009920974201040588,Thief
93,0.3,-0.3,31,0.009920974201040588,Police
94,-0.05,-0.75,50,0.009920974201040588,Thief
95,0.0,-0.3,15,0.009920974201040588,Police
96,-0.55,-0.05,50,0.009920974201040588,Thief
97,-1.05,-0.45,50,0.009920974201040588,Thief
98,-2.05,-0.55,50,0.009920974201040588,Thief
99,-0.15,-0.15,50,0.009920974201040588,Thief
100,-0.15,-0.55,50,0.009920974201040588,Thief
101,-0.65,-0.25,50,0.009920974201040588,Thief
102,-0.25,-0.25,50,0.009920974201040588,Thief
103,-0.75,-0.45,50,0.009920974201040588,Thief
104,-1.05,-1.05,50,0.009920974201040588,Thief
105,-0.95,-1.15,50,0.009920974201040588,Thief
106,-0.95,-0.45,50,0.009920974201040588,Thief
107,-0.75,-0.45,50,0.009920974201040588,Thief
108,-0.05,-0.15,50,0.009920974201040588,Thief
109,-0.05,-0.25,50,0.009920974201040588,Thief
110,-0.15,-0.45,50,0.009920974201040588,Thief
111,-1.05,-0.95,50,0.009920974201040588,Thief
112,-0.35,-0.25,50,0.009920974201040588,Thief
113,-0.65,-0.25,50,0.009920974201040588,Thief
114,-2.15,-1.65,50,0.009920974201040588,Thief
115,-1.05,-0.75,50,0.009920974201040588,Thief
116,-0.45,-0.45,50,0.009920974201040588,Thief
117,-0.95,-0.95,50,0.009920974201040588,Thief
118,-1.05,-1.05,50,0.009920974201040588,Thief
119,-0.25,-0.35,50,0.009920974201040588,Thief
120,-0.15,-0.55,50,0.009920974201040588,Thief
121,0.0,-0.2,9,0.009920974201040588,Police
122,-1.35,-1.05,50,0.009920974201040588,Thief
123,-0.55,-0.25,50,0.009920974201040588,Thief
